,白话文,文言文
26,能自观生死的根本，知道这回的生身为最后的边际身！,自观生死本，此身最后边。”
27,二月七日，因平贼之功，封太监谷大用弟谷大亮、陆訚侄陆永均为伯。,二月丙午，以平贼功，封太监谷大用弟大亮、陆訚侄永皆为伯。
28,过去供养很多僧人，能随意设斋饭；,昔日供侍众僧，随意所设；
29,石将军舆明公相比，犹如月亮舆太阳相比，长江、黄河与滔滔海洋相比。,石将军之拟明公，犹阴精之比太阳，江河之比洪海尔。
30,不久，贼将李怀仙斩史朝义之首级献给了朝廷，河北平定。,分命诸将追之，俄而贼将怀仙斩朝义首以献，河北平。
31,大王立即派出大量的兵丁人手，前往恒河边岸。,王即大出军众。往至恒水边。
32,“是什么原因拿纸而手留余香？,“何缘捉纸而手香？
33,因为成立对治所治的六障。,成立对治所治障故。
34,五百名梵志的弟子，都各大举声，,五百梵志弟子各大举声。
35,淳祐十年，以端明殿学士的身份调到两淮镇守，他才三十多岁。,十年，以端明殿学士移镇两淮，年始三十余。
36,性情笃实孝道，致力耕作来事奉母亲。,性笃孝，力耕以事母。
37,‘这就是现在的泥洹，并非不是；,‘此是现在泥洹，非不是；
38,有智慧却用在私利上，不如愚笨而把心思用在公事上，所以说奸诈虚伪不如笨拙诚朴。,智而用私，不如愚而用公，故曰巧伪不如拙诚。
39,世俗上的人，都喜欢别人和自己相同而厌恶别人和自己不同。,世俗之人，皆喜人之同乎己而恶人之异于己也。
40,天不得不高，地不得不广，日月不得不运行，万物不得不昌盛，这就是道呀！“学问广博的不一定具有真知，善于辩论的不一定具有慧见，圣人早已弃绝这些了。,天不得不高，地不得不广，日月不得不行，万物不得不昌，此其道与！“且夫博之不必知，辩之不必慧，圣人以断之矣。
41,圣人之道运化而不停滞，所以海内之民都能宾服。,圣道运而无所积，故海内服。
42,天下为人师长的很多，但有仁义的很少，如果都效法自己的老师，那么就是效法不仁义的人。,天下之为学者众，而仁者寡，若皆法其学，此法不仁也。
43,我要说的话已经说完，请对我用刑吧。”,所言已毕，乞行就质。”
44,礼是表示尊敬的。,礼，敬也。
45,营建采邑也这样做。,造都邑亦如之。
46,写的评论文字，一味追求华丽，不讲忠于事实，因此遭到有学识的人的批评。,又所评论，竞为绮艳，不求笃实，由是颇为学者所讥。
47,口里不要整天说空讲空，心中却不这样修行。,口莫终日说空，心中不修此行。
48,听到角声，能够使人产生同情心而喜爱仁义；,闻其角声，使人恻隐而爱仁；
49,随从想了想后，对资深的婆罗门说：,从人思惟，知之语长者：
50,知道什么可说，什么不可说；,知可言，知不可言；
51,更何况当会食它呢？,况当食之。
52,都能养育子孙，,养育子孙。
53,这都是抛弃礼义丧失了本性，暂时获得朝夕间荣宠的急功好利之人，岂是道化的本原呢！,斯皆弃礼丧真，苟荣朝夕之急者也，岂道化之本与！
54,父亲树利周，曾随魏国广阳王元深征讨葛荣，战死沙场，赠授冀州刺史。,父树利周，从魏广阳王深征葛荣，战没，赠冀州刺史。
55,杜黄裳回答说“：国君必须做好的主要事情，在于抓紧自我修养，精简杂务，选拔人才交给职责，起早睡晚地了解民间疾苦，舍弃自己的私利，服从民众的心愿，对待下级宽厚仁爱，本来就不应当松懈懒散贪图安逸。,杜黄裳对曰：“帝王之务，在于修己简易，择贤委任，宵旰以求民瘼，舍己从人以厚下，固不宜怠肆安逸。
56,这样贤能的人就会增多，而不贤的人就会减少，这就叫进贤。,以贤者众，而不肖者寡，此谓进贤。
57,占卜说：“秦地有战事，又预示天旱，预示战争、死亡。”,占曰：“秦有兵，又为旱，为兵丧。”
58,二十七日，明帝耕于下邳。,癸亥，帝耕于下邳。
59,辛君等人看到，感叹不已。于是采集灵芝上奏皇上，皇帝下诏，张贴各地表扬仲珪的孝行。,君昌等尤深嗟叹，采芝封奏，诏表门闾。
60,于是派教练使拿着令符告诉翻译说：“进入我国家内，若有丝毫不合法，我将斩了你们。”,乃使教练使持符告译者曰：入吾境，有秋毫不如法，吾且斩若。
61,你看到我这种神通力没有？,汝见我此神通力不？
62,阿醯物多花、瞻卜花、波罗罗花、须曼陀花、婆师迦花、檀俱摩梨花。,阿醯物多华瞻卜华波罗罗华须曼陀华婆师迦华檀俱摩梨华。
63,于是他就内在的诸法观察诸法；,如是，或于内法，观法而住：
64,这都是服从李克用所奏请而决定任命的。,并从克用奏请也。
65,也是如是。,亦复如是。
66,杨柳啊杨柳，生长在前，伤损在后。,嗟兹杨柳，先生后伤。
67,所以天下人后退而自修其身，乡里有道德，朝廷有公正，浮华奸邪之人无处容身。,故天下之人退而修本，州党有德义，朝廷有公正，浮华邪佞无所容厝。
68,地方将官多由此获罪，唯独麻贵和兄长副将麻锦拒敌有功，受到奖赏。,将吏并获罪，独贵与兄副将锦拒战有功，受赏。
69,虞国国君不听进谏，后来虞国果然被晋国灭亡。,虞公不听，后虞果亡于晋。
70,佛法经典虽能指破妄想，但终究逃避不了名词论辩。,经经说妄想，终不出于名。
71,蔡邕性至孝，母亲卧病三年，不论盛夏严冬、气候变化，没有解开过衣带，七十天没有睡过觉。,邕性笃孝，母常滞病三年，邕自非寒暑节变，未尝解襟带，不寝寐者七旬。
72,铁灯不熄灭，李氏就兴盛。”,铁灯不灭，李氏兴。”
73,须菩提，如果你能舍弃小乘众的断除烦恼方能获得解脱、了脱生死方能证入涅槃的偏见，不是执著于追求彼岸，而能入诸邪见而取正见，住于八难而得无难，不离烦恼而得解脱，你得无诤三昧，一切众生亦得此种无诤之定，,若须菩提，入诸邪见，不到彼岸，住于八难，不得无难，同于烦恼，离清净法，汝得无诤三昧，一切众生亦得是定；
74,当天巡视塞上，安抚了王兀堂诸部，听任他们在当地贸易。,即日巡塞上，抚定王兀堂诸部，听于所在贸易。
75,我以为不如供养士人更安全。”,吾以为不若畜士之安也。”
76,“我在此居室的时间，同您老修解脱道的时间一样长了。”,“我止此室，如耆年解脱。”
77,如果存有一些讨好世俗的心，就是曲。,苟有一毫媚世之心，即为曲；
78,前太仆祭彤远出塞外，最终见不到一个胡兵而自己已困顿了。,前太仆祭肜远出塞外，卒不见一胡而兵已困矣。
79,凡夫由于不尊敬十力的法王，不知晓菩萨的恩德，徒然贪恋、执着于现前所安住之境；,不敬十力王，不知菩萨恩，恋着住处。
80,臣因为无人供养祖母，推辞没有前往应命。,臣以供养无主，辞不赴命。
81,历气则能成为大铁笼，弥漫覆盖国土。,历息则能为大铁笼弥覆国土；
82,第八是奴婢之业，来采集野生草木的果实。,八曰臣妾，聚敛疏材。
83,所以对于不义之事，一定要谏诤劝阻。,故当不义，则争之。
84,性格又廉正仁恕，不慕求财利。,性又廉恕，不以财利为心。
85,其后，经过很久的期间，有大风的兴起，名叫大僧伽，乃至于果实天。其风四布而吹，吹至于遍净天宫、光音天宫，使宫与宫相拍，而碎如粉尘。,其后久久，有大风起，名曰大僧伽，乃至果实天，其风四布，吹遍净天宫、光音天宫，使宫宫相拍，碎若粉尘。
86,十一日，命令任子到御史台帘前应试。,乙丑，命任子帘试于御史台。
87,祁射子再次谒见秦惠王时，秦惠王满怀怒气地对待他。,复见惠王，怀怒以待之。
88,征为大鸿胪。,迁河内太守，征为大鸿胪。
89,对当下修行的法，以自身作证：,于现法中。自身作证。
90,太公说：“听他们的鼓没有声音，铎没有动静，望他们的营垒上多飞鸟却不受惊吓，上空也没有人烟尘俗之气，那就可以断定敌人用诈设置了假人。,太公曰：“听其鼓无音，铎无声，望其垒上多飞鸟而不惊，上无氛气，必知敌诈而为偶人也。
91,所以接受命令出征后，就忘记了他的国君的存在；,故受命而出，忘其国；
92,进退之事，权时之策，都由将军专管，出郊之事，不再由内管理。,进赴之宜，权时之策，将军一之，出郊之事，不复内御。
93,永安以后，李氏家族流离失散，有的遭到诛杀夷灭，正像魏子建原先所忧虑的那样。,及永安之后，李氏宗族流离，或遇诛夷，如其所虑。
94,入朝任侍中，改任尚书。,入为侍中，迁尚书。
95,留守而不赐旗甲的规矩，就是从吕元膺开始的。,留守不赐旗甲，自元膺始。
96,刘芳跟随伯母房氏逃窜青州，逢大赦获得自由。,芳随伯母房逃窜青州，会赦免。
97,基窖德攻陷青州，害死龙骧将军辟间浑，于是在广固僭号登皇帝位。,慕容德陷青州，害龙骧将军辟闾浑，遂僭即皇帝位于广固。
98,这是由于牠们怀有相侵害之心的缘故。,以其有异心故。
99,这样的话，一旦其挑起争端，而我们又没有应对之策，那就实在寒心了。”,一旦挑争端而吾无以应，此有识所为寒心。
100,单纯地“以为”楹柱是圆柱形的，这种“以为”还不算是知识，论证的理由在于这只是一种臆测。,以楹为抟，于“以为”无知也。说在意。
101,因为这个缘故，很难使他跟诸侯会盟，却很容易使他骄傲奢侈。,以此之故，难使会同，而易使骄奢。
102,过了一个月，就立皇太子。,逾月，遂立皇太子。
103,而用尹同皋代替他巡抚四川。,而以尹同皋代抚四川。
104,凡夫于善、恶、无记三性心时，虽然对外生起各种行为，但对内妄执有我。由于有我执，使眼、耳、鼻、舌、身、意六识所生起的布施等不能亡相，总想我能布施、我能持戒等。所以《瑜伽师地论》卷五十一说：,谓异生类三性心时，虽外起诸业，而内恒执我，由执我故令六识中所起施等不能亡相，故《瑜伽》说：
105,去世后赠官为保宁军节度使，谥号“良恪”。,卒，赠保宁军节度使，谥良恪。
106,“什么叫作‘发菩提心自在受生宝藏？,“云何名发菩提心受生藏？
107,“这时，国王召集诸群臣、国师、道士，叫他们为太子瞻相，并令他们为太子立字，使世人能得称传。,“是时，国王召诸群臣国师、道士，使瞻相之，又与立字使世称传。
108,而不知足者多。,无有知足。
109,“此去七十年，有两位菩萨从东方来，一是出家人，一是在家人。,“吾去七十年，有二菩萨，从东方来，一出家，一在家。
110,“三十六个诸侯国，九十九个大姓，从魏氏南迁以后，都称为河南之民。,三十六国，九十九姓，自魏氏南徙，皆称河南之民。
111,猕猴去了其他山中，取来了甘甜的果实供奉证悟者，希望他不要走。,猕猴去至他山中，取甘果来，以上道人，愿心莫去。
112,所以《周书》上说：“国中没有储备够用三年的粮食，国就不能称其为合格的国；,故《周书》曰：“国无三年之食者，国非其国也；
113,可与虞夏四代的功业相提并论，我不敢评说。,方轨虞夏四代之明显，我不敢知。
114,“是什么缘故，在各种污染的心所翻过来而形成的善心所中，有的能另外建立，有的则不另外建立？”,“何缘诸染所翻善中，有别建立，有不尔者？”
115,因此之故，诸比丘们，,是故，诸比丘！
116,所谓能知过去未来世各百劫事，是指教化众生勇于率先离恶，说善恶业道。,能知过去未来世各百劫事者，化诸众生作离恶上首，说善恶业道故。
117,逢山羌人攻破州郡，睫楚带着孩子逃走，贼人射他，陈楚身中三箭。,会山羌破郡，楚携子出走，贼射之，中三创。
118,招人怨不能为人患，这是臣感到羞耻的。,与人怨不能为人患，臣所耻也。
119,只有文武百官都能团结和谐、其乐融融，音乐才会清新和谐。”,众官之长，既成熙熙，然后乐乃和焉。”
120,因此圣明的君主居于君位，减少官职设置而加重职责，不追求外表形式而注重善于办事，言语不合事理就不说，行为不合法度就不做。”,是以明君居上，寡其官而多其行，拙于文而工于事，言不中不言，行不法不为也。”
121,事情交给八座议论，尚书卞壹说因为“周札在石头之战中开城门迎请敌寇，使得反贼王敦放纵作乱，这是周札的罪责。,事下八坐，尚书卞壶议以“札石头之役开门延寇遂使贼敦恣乱，札之责也。
122,帝嘉奖他，十分恩宠。,帝嘉其义学，恩宠甚崇。
123,外身膨胀狼藉，,外身膖胀狼藉。
124,孔安国任孝武帝侍中时，受到过孝武帝的关怀宠遇。,孔仆射为孝武侍中，豫蒙眷接。
125,穷困顺达奖赏惩罚吉祥祸患都有定数，人们自己的智慧和力量是不能改变的。,穷达赏罚幸否有极，人之知力，不能为焉。
126,那么上天想要生存而厌恶死亡，想要富贵而厌恶贫穷，想要治理而厌恶混乱，这就是我知道上天想要仁义而厌恶不仁义的原因。,然则天欲其生而恶其死，欲其富而恶其贫，欲其治而恶其乱，此我所以知天欲义而恶不义也。
127,转轮圣王出现在于世间之时，便会有此宝，会自然来应的。,转轮圣王出现世时，便有此宝，自然来应。
128,孔子说：“君子以忠诚为本性，以仁爱为防卫，不出陋室之内，却闻名千里之外。,孔子曰：“君子以忠为质，以仁为卫，不出环堵之内，而闻千里之外。
129,诸位大夫说：“君主父亲的命令，不必犹疑，又何必占卜呢！”于是迎接臧地老者而把政事委托给他。,诸大夫曰：“先君之命，王其无它，又何卜焉！”遂迎臧丈人而授之政。
130,袍罕诸氐族因卫平年老，不能成就事业，商议要废掉他，而害怕他的家族强盛，连日作不了决断。,枹罕诸氐以卫平年老，不可以成事业，议废之，而惮其宗强，连日不决。
131,没有此公，朕几乎被小人误了。”,微此公，朕几为竖子所误。”
132,侯君集是豳州三水县人。,侯君集，豳州三水人。
133,今日他人妇女，端正妙庄严饰，而心无所染着，犹如知足天人。,今见他妇人，端正妙严饰，而心无染著，犹如知足天。
134,于是闭口不再说话。,遂闭口不复言。
135,四岁时即死了父亲，母亲郑氏一直守节未嫁，在家亲自教欧阳修读书学习，因家里贫穷，以至于只能以芦荻作笔，在地上学习写字。,四岁而孤，母郑，守节自誓，亲诲之学，家贫，至以荻画地学书。
136,“这样，须菩提，菩萨应当以自相空的事物来行般若，因为教内教外之法乃至佛法都不执着。”,“如是，须菩提，菩萨应以自相空法行般若，内外法乃至佛法不着故。”
137,要使人心服，而不敢违逆，确立天下的定则。,使人乃以心服，而不敢蘁立，定天下之定。
138,二地戒闻宛如香山，,二地戒闻如香山；
139,”十方诸佛都是如此派遣使者。,”诸佛遣使亦复如是。
140,他们不知道说：“因为我疲惫无能，劳动不勤快。”一定说：“我命里本来就该贫穷。”,不知曰我罢不肖，从事不疾，必曰我命固且贫。
141,身体上的三种行为是，,身三业者。
142,第四种，腋下出汗；,四者，腋下汗出；
143,岑彭回来，把这个情况报告光武。,彭还，具言于帝。
144,而自生邪见呢？婆罗门说：,自生邪见耶婆罗门言。
145,不久沧州李同捷叛乱，朝廷发兵征讨。,俄而沧州李同捷叛，朝廷加兵。
146,壁倥堪会清谈，善于写文章，常说三天不读《道德论》，就觉得舌根发硬。,仲堪能清言，善属文，每云三日不读《道德论》，便觉舌本间强。
147,二十一日，下诏从今以后营造工程，三司审实供给开支费用。,甲申，诏自今营造，三司度实给用。
148,北海王元详任司徒、录尚书事，任崔挺为司马，崔挺坚决辞任，但仍推脱不掉。,北海王详为司徒、录尚书事，以挺为司马，挺固辞不免。
149,黎民之所以举颈向西遥望，四海之所以注目大凉，皇天保佑，士民效死，正是因为先公道义高于彭、昆，忠贞超过西伯，不远万里表达虔敬，保持节操没有二心的缘故。,苍生所以鹄企西望，四海所以注心大凉，皇天垂赞，士庶效死者，正以先公道高彭昆，忠逾西伯，万里通虔，任节不贰故也。
150,这时，心王菩萨尊敬而专注地接受如来的教诲。,时，心王菩萨唯然受教。
151,此时有的头目请求朝廷在哈密增一名把总以治理哈密的政务，皇帝敕谕何福说：“设置把总，就等于增设了一个王；,会头目请设把总一人理国政，帝敕福曰：“置把总，是增一王也；
152,虽然行事慈悲喜舍的四无量心，却不贪着生于梵天之世，这就是菩萨性行。,虽行四无量心，而不贪着生于梵世，是菩萨行。
153,那人就回答说：,于后等侣唤共取米，其人答曰：
154,杨业因而叹息说“：皇上对我很看重，我本打算用讨伐贼寇保卫边疆来报答他，却反被奸臣所迫害，致使国家的军队战败，还有什么脸求活着呢！”,业因太息曰：上遇我厚，期讨贼捍边以报，而反为奸臣所迫，致王师败绩，何面目求活耶！
155,此时此刻，我佛如来，身在遥远的王舍城鹫头山中，心已感知到波婆梨国师的意愿，在手臂屈伸般的短暂时间里，他已经飞身来到波婆梨面前。,于时如来，遥知其意，屈伸臂顷，来到其前。
156,诸比丘们就趋前受教。,诸比丘前受教已。
157,我断定不用多长时间就可看到天下太平。”,臣谓不数期且见太平云。
158,十二月，韩游腢入朝，身着平民服装等待治罪，进入朝堂，皇上立即命人给他松绑，和从前一样对待他，又令他返回军镇。,十二月，游瑰入朝，素服待罪，入朝堂；遽命释之，劳遇如故，复令还镇。
159,既然是合为一体了，还能再说什么呢？,既已为一矣，且得有言乎？
160,众生如果超过宿债的额度来偿还，就会转生人道，来讨回其过多的偿付。,若彼酬者分越所酬，此等众生还复为人，反征其剩。
161,“这是为什么呢？”,“所以者何？”
162,贼兵开往清涧。,贼走清涧。
163,二，由善巧的工匠治理；,二者巧匠治理；
164,虽然尚未形成大势，但不可不防。,虽势无所至，然不可不虞。
165,及至王守澄统率禁兵，倚仗自己是宿老旧臣，极其跋扈。,及王守澄之领禁兵，恃其宿旧，跋扈尤甚。
166,有了六入处，由于六入处之缘，而为触，触之因缘，而有了受，受的因缘而会有了爱，爱的因缘，而会有了取，取的因缘，而会有了有，有的因缘，而会有了生，生的因缘，而会有了老病死，忧悲恼苦。像如是的，而有了纯大苦聚之集。,有六入处，六入处缘触，触缘受，受缘爱，爱缘取，取缘有，有缘生，生缘老病死、忧悲恼苦，如是纯大苦聚集；
167,皇上嘉奖李彬的功劳，给他的赏赐很丰厚。,帝嘉彬功，赐赉甚厚。
168,皇甫温移兵镇守陕州。,温移镇陕州。
169,初六，梁、秦二州刺史邢峦接连打败氐贼，攻克武兴。,壬申，梁秦二州刺史邢峦连破氐贼，克武兴。
170,二十一日，下诏冬祀大礼及朝拜景灵宫，一律让道士带领仪仗和随从作为前导。,戊辰，诏冬祀大礼及朝景灵宫，并以道士百人执威仪前导。
171,初九，京城所属奉先等十七县发生水灾。,壬戌，京畿奉先等十七县水。
172,祖父徐宣，做过讲学大夫，用《易经》教授王莽。,祖父宣，为讲学大夫，以易教授王莽。
173,以致各种水火盗贼，大横祸小横祸等一切恶事，都将全部消失不见。,乃至水火盗贼，大横小横，一切恶事，悉皆消灭。
174,这就是，阿难！,是为，阿难！
175,跋难陀龙，没有耳朵却能听；殑伽神女，没有鼻却能闻香；,跋难陀龙无耳而听，殑伽神女非鼻闻香；
176,菩萨要怎样才能不舍离智慧的光明，而普遍地证入过去、现在、未来三世智慧所行之处？”,菩萨云何不舍智光，普入三世智所行处？”
177,水大有所增损，,若水大增者。
178,“你回去把这事告知你母亲，然后剃发前来。”,“归报汝母，剃头发来。”
179,这是知道强大之道的君主。,是知强道者也。
180,他的心志有所活动，是因为外物的交感而引起的。,其心之出，有物采之。
181,庄烈帝没能全采纳。,帝不能尽用。
182,这表明五百商人，只要一心念佛，口诵佛陀名号，,此明五百贾人，但一心念佛，暂称名号。
183,这一年荧惑星进入太微，太祖下诏谕示朱桢要十分谨慎，朱桢乃列出十事以自警。,是年，荧惑入太微，诏谕桢戒慎，桢书十事以自警。
184,忍辱是道场，因为和众生心没有隔阂的缘故；,忍辱是道场，于诸众生心无阂故。
185,犹如有人故意杀害众生，当做为自己的快乐；,犹如有人故杀众生，自以为乐；
186,石遵派车骑王朗率领二万精锐骑兵，对外以讨伐司马勋为名，趁机劫持石苞，把他送到邺。,遵遣车骑王朗率精骑二万，以外讨勋为名，因劫苞，送之于邺。
187,如果皇上责备我，不就是失去一个金吾羽林将军，回朝做侍卫吗！,假如明主见责，岂失一金吾羽林将军，归朝宿卫乎！
188,恰巧曹文诏从西面凯旋，就同榆林参政张福臻联合围剿他们，杀死了李老柴及他的同党一条龙，其他的同党逃往摩云谷，副将张弘业、游击将领李明辅战死。,会文诏西旋，与榆林参政张福臻合剿，馘老柴及其党一条龙，余党奔摩云谷。副将张弘业、游击李明辅战死。
189,舍人掌管有关合理分发宫中用米的事务，分颁米给宫正、内宰，让他们管理好并分发给各官府办公人员，按规定制度掌管米的支出、退还。,舍人掌平宫中之政，分其财守，以法掌其出入。
190,应当用轮番戍守的法则加以约束。,当限以轮番守戍之法。
191,以所求夜半盈缩除以章岁十九，所得商数为盈缩度数，余数为盈缩分数，以通数三十一乘以上所得盈缩分数及盈缩余数，通敷与盈缩余数的乘积除以周法五千九百六十九，所得加上通数与盈缩分数的乘积，如果其和大于等于纪法五百八十九，则减之，盈缩度数加一，最后得到盈缩校正度分，盈加缩减当天夜半平度分。即为定度分。,满章岁为度，不尽为分。通数乘分及余，余如周法从分，分满纪法从度，以盈加缩减本夜半度及余，为定度。
192,舍卫国波斯匿王听到世尊的儿子出家做了沙弥，和群臣、王后、后宫妃子、婆罗门、居士一起在一天早上来到佛的驻地礼拜问候，并看望罗睺罗。大家一一落座，佛为大家说法。,尔时，舍卫国波斯匿王闻佛子罗睺出家为沙弥，与其群臣、夫人、太子、后宫采女、婆罗门、居士，恭敬围绕，于其晨朝来诣佛所，礼拜问讯，并看佛子罗睺沙弥，各一面坐，佛为说法。
193,此时，阮帅等人推举简定为太上皇，另立陈季扩为大越皇帝，将纪元年号改为重光。,时阮帅等推简定为太上皇，别立陈季扩为帝，纪元重光。
194,皇上下诏免其死罪，仍戍边。,诏免死，仍戍边。
195,你们这些菩萨，今受菩萨戒者，今学；当来受菩萨戒者，当学：已受菩萨戒者，已学。,汝等一切诸菩萨今学当学已学。
196,开凿是由人手完成的，随着方位在运转，土只是转移了地方，这样的话虚空究竟是从何处产生呢？,凿从人手，随方运转，土因地移，如是虚空因何所出？
197,一，名叫伽伽罗；,一名伽伽罗。
198,当今的君主，他们缝制衣服就与此不同了。,当今之主，其为衣服，则与此异矣。
199,当时徐州有个妖邪之人假称姓氏为司马，字休符，自称晋王，煽动蛊惑百姓。,是时徐州妖人假姓司马，字休符，自称晋王，扇惑百姓。
200,可以继嗣父职与否呢？,嗣父职不？
201,因为公事免职。,坐公事免官。
202,瞋只是恶性，因为它既损恼自己，又损恼他人。,瞋唯不善，损自、他故。
203,放出七十八名宫女。,出宫女百七十八人。
204,秦兵进攻楚国，不出三个月，楚国就会面临危难；,秦兵之攻楚也，危难在三月之内；
205,张行成劝谏说“：皇太子应该留守京城代为处理朝政，督率百官每天决断各种政务，既把京城看得重要，还向天下显示大德。”,行成谏曰：“皇太子宜留监国，对百寮日决庶务，既为京师重，且示四方盛德。”
206,察询探寻积久的弊端，起自平摊逃亡户的赋税。,访寻积弊，始自均摊逃户。
207,至于修圩、筑堤、开河、浚湖所支的口粮，则不用偿还。,其修圩、筑岸、开河、浚湖所支口粮，不责偿。
208,姚王焘、赵瞡都请求设置时政记，没能实施。,姚、赵憬皆请置时政记，不能行。
209,然而崔浩世受特殊恩遇，荣耀当时，他却辜负圣恩，自招毁灭。,然浩世受殊遇，荣曜当时，孤负圣恩，自贻灰灭。
210,夏侯湛说：“对啊！你说得有道理。”,湛曰：“俞！乃言厥有道。”
211,髑髅说：“人死了，上面没有君主，下面没有臣仆，也没有四时炎凉之事，从容自得地与天地一样长寿，即使南面称王的快乐，也不能超过。”,髑髅曰：“死，无君于上，无臣于下，亦无四时之事，从然以天地为春秋，虽南面王乐，不能过也。”
212,改换万历年号，穆宗升格祭祀于宣宗的宗庙。,万历改元，穆宗升祔，复祧宣宗。
213,“就如同所有如来安住的如幻智慧，心念平等无二；,如诸如来住如幻智，其心平等；
214,又普照十方世界一切诸佛所加持说法的菩萨身上。,又照十方一切世界，一切诸佛所加说法菩萨之身。
215,猛烈、赤红等性质，并非同异性有这样的性质。,猛赤等德，非类有故。
216,方孝复的儿子名叫方琬，后被释放为民。,孝复子琬，后亦得释为民。
217,这人被老虎吓得赶快跑，所担的担子也倾倒了，容器里剩下的杏，和原来拿去的谷刚好一样多，虎也就回去了。,此人怖遽，担倾覆，所余在器中，如向所持谷多少，虎乃还去。
218,像这种愚人，不单自己行于邪见，也使无量众生堕于邪见的险坑。,如是愚人自行邪见。复令无量俱胝有情堕大险坑。
219,这些众生所受纳的佛法是有数量界限的呢，还是没有数量界限的呢？,此诸众生所受之法为有量耶，为无量耶？
220,他又在于后夜之时，或者禅坐，或者经行，而清净其意。,彼复以后夜时，或坐、或经行而净其意。
221,各路漕臣因上供钱物不足获罪，贬降者达二十二人。,诸路漕臣坐上供钱物不足，贬秩者二十二人。
222,建昌叛匪头目有安宁、五咱、王大咱等人，跟越巂邛部黑骨夷一起发作叛乱。,建昌逆酋曰安守，曰五咱，曰王大咱，与越巂邛部黑骨夷并起为乱。
223,回答说：“难以实行啊。”,曰：“难矣。”
224,这时王守仁正在吏部讲学，若水与他一唱一和，互相呼应。,时王守仁在吏部讲学，若水与相应和。
225,但张献诚贪财，如能送重礼给他，我就能跟您走了。”,然献诚嗜利，若厚赂之，宁可以从大夫矣。”
226,唯愿世尊您！当为他授记！,唯愿世尊当为记之！
227,过了一阵，武后又求才，狄仁杰说：“臣曾举荐张柬之，您没用他。”,它日又求人，仁杰曰：“臣尝荐张柬之，未用也。”
228,另外，也有得少而就此满足，不求上进的。如修至第四禅的无闻比丘，以为自己已经证得圣果，已经脱离三界。天道的报应完毕之后，就显现衰败身相。,又复于中，得少为足，如第四禅，无闻比丘妄言证圣，天报已毕，衰相现前。
229,萧衍多次征募人丁出战，常常被侯景的部众所擒获。,衍数募人出战，常为景所执获。
230,正德初年，总领神机营，与刘瑾结党。,正德初，总神机营，与瑾为党。
