白话文,文言文,文言文_较差
《诗经》说：“在房子里面敲钟，声音可以传达到外面。”,《诗》曰：“鼓钟于宫，声闻于外。”,《诗》曰：“宫中打钟，声音外面也能听到。”
佛告僧众：,佛告比丘。,佛说比丘。
你们诸比丘们！,汝等比丘，,汝等和尚，尔等比丘，
……楚庄王喜好腰身纤细的人，朝廷上自然就会有人饿肚子减肥。,……楚庄王好细腰，故朝有饿人。,楚王喜欢细腰，所以朝里有很多饿人。
母亲说：“你现在能够与李膺、杜密齐名，死也无遗恨了！,母曰：“汝今得与李杜齐名，死亦何恨！,母曰：「你现在能和李杜一样有名，死了也无憾了！」
不久去世，赠太子太保。,久之，卒。赠太子太保。,很久之后，死了。追赠为太子太保。
不久后去世，死时三十六岁，担周非常悲痛惋惜。,寻卒，年三十六，温甚悼惜之。,不久死了，年纪三十六，温很伤心可惜他。
他作如是之思惟：其所以，出身为族姓子，剃除须发，乃由正信而为非有家之人，而出家学道，修行梵行，至于见法而自知得证正道。,住如是思惟。所以族姓子。剃除须发。正信非家出家学道。修行梵行。见法自知得证。,住如是思维。为啥族姓子。剃掉头发。信了佛教离家出家学道。修行清净行。见法自知得证。
饭要硬些，不宜于太软；,饭欲刚，不宜弱；,饭要硬，不要软。
这时塔中忽然有白光出现，一直冲上天空，三天以后方才消散。,忽于塔内白光出现，直上冲天，三日始散。,忽然塔里面出现白光，直冲上天，三天才散掉。
明朝廷不知内情收纳了贡品，过了几年以后才发觉，于是命令广西的守卫大臣断绝安南使者入境。,朝廷不知而纳之，越数年始觉，命广西守臣绝其使。,朝廷不知道就收下了，过了几年才发现，让广西的官员断绝和他的使者联系。
第四，关于生命现象日常状态的真实本性，这就是我所说的苦这一真理。苦，有逼迫、痛苦义，它是对流转生命身心拘束不得自由的真实情状之描述：,四者安立真如，谓我所说诸苦圣谛；,四者安定真如，说是我所说的各种苦圣谛。
你们婆罗门居住的地方，大地多半蒸湿，加上有许多沙石，草菜不生长，我就加持大悲咒神力，以此大慈悲，假托成为肉，你们就吃到了这种味道。,汝婆罗门地多蒸湿，加以沙石，草菜不生。我以大悲神力所加，因大慈悲，假名为肉，汝得其味。,汝婆罗门之地多湿热，加沙石，草菜难生。我用大悲神力，因慈悲，假名为肉，汝得其味。
这些都如实了知。,皆如实知。,全都如实知道。
以往对妖言大狱，株连很广，一人犯罪，罚及父、母、妻三族，不能做官，任职王朝。,往者妖言大狱，所及广远，一人犯罪，禁至三属，莫得垂缨仕宦王朝。,从前妖言大狱，牵连很广，一人犯法，连累三代，没人能做官。
双亲在，就要善巧地劝他们持斋念佛，求生西方。,亲在，则善巧劝谕，令其持斋念佛求生西方。,父母在，就好好劝他们，让他们吃斋念佛，往生西方。
说缘起、缘灭之法。,缘无缘法。,缘无缘分法。
斛律坚决地请求说：“不用麻烦很多人，希望提供三百骑兵就足够了。,斛律固请曰：“不烦大众，愿给骑三百足矣。,斛律固说道：“不用麻烦很多人，给我三百骑兵就好了。”
数息有三件事；,数息有三事：,数息有三件事：
孔丘，是小人，怎么能知道这些呢？”,丘，小人也，何足以知之？”,丘，小人也，哪里能知道这些？
阿难，若是知道妄想有所起处，可以说妄想以为因缘，若是妄想元无起处，当体全空，如果再说妄想为因缘者，也同样元无所有了。何况外道不知道因缘，推为自然的了。,阿难，知妄所起，说妄因缘，若妄元无，说妄因缘，元无所有，何况不知，推自然者。,阿难，知道虚妄的来源，就说虚妄的原因，如果虚妄本来没有，就说虚妄的原因本来没有，何况不知道，推自然的。
他考察听取各方隐情，尽知下属长短之处，赏罚都能兑现。,参听微隐，尽得吏下短长，其赏罚必信。,参听微隐事，全部知下属好歹，赏罚一定信。
使国家大乱的人上奏骗人的话以逢迎皇上，依赖国家的人掩盖着耻败的局面而且不敢议论，主持国家事务的人不清楚安危的预兆而不知道悔过。,迷国者进慆忧之欺以逢其君，托国者护耻败之局而莫敢议，当国者昧安危之机而莫之悔。,迷国之人用花言巧语讨好君主，托国之人护着丢脸的败局不敢议论，当国之人糊涂不分安危从不后悔。
吴兢记事简要详备，被称为良史。,兢叙事简核，号良史。,兢叙事简单粗糙，号称好史。
推测过去与未来的存在，叫做有边；,计过未者，名为有边；,计过未者，名有边界；
所以，大慧。,是故大慧。,故此大慧。
皇帝对他的这些见解大加褒奖，并予以采纳。,优旨褒纳。,优意褒獎納入。
假如安王即位，能容下我吗？”,使安王立，肯容我耶？”,若立安王，他会容得下我吗？
五祖让惠能上船，五祖抓起橹亲自摇起来。,祖令上船，五祖把橹自摇。,祖令上船了，五祖自己拿橹划。
从此以后，天下太平，异域之人，听说他的情况，也都很佩服惊奇。,于是天下翕然，及殊方听望，咸宗奇之。,于是天下人都很佩服，连远方的人都听闻仰望，都觉得很神奇。
夏四月初六，辽朝派遣耶律庶几等人来祝贺同天节。,夏四月辛卯，辽遣耶律庶几等来贺同天节。,夏四月辛卯，辽派耶律庶几等人来贺同天节。
内供以警卫，外总管三署，周密谨慎，选举公平。,内奉宿卫，外总三署，周密敬慎，选举称平。,内里侍奉宿卫，外面总管三署，做事周密小心，选举还算公平。
但是与他的父亲相比，人们都说不及其父。,然比之于父，佥云不逮。,然比起父亲，都说不如。
同月，相州人段德举图谋反叛，被处死。,是月，相州人段德举谋反，伏诛。,这个月，相州人段德举想造反，被抓然后处死了。
佛正说着时，阿难和韦提希只见无量寿佛住立在空中，观世音菩萨和大势至菩萨一左一右侍立在无量寿佛身旁。,说是语时，无量寿佛住立空中，观世音、大势至是二大士，侍立左右。,说是时候，无量寿佛站在空中，观世音、大势至两个大士，在两边站着。
她是你的冤家，要以恶还恶来报复你。,是汝怨家，欲以忧毒杀汝。,此乃汝仇，欲以忧愁毒害汝。
从此不得安隐，令意散乱生起，此为当来罪；,遂不安隐乱意起，是为当来罪；,遂心不安，隐乱意生，这就是将来罪。
所以正式的朝服为黑色，头戴的冠冕和冕上丝绳是黑色，君主所乘的车舆质地也是黑色，马匹脖颈上的毛也是黑色，朝廷符节、绶带、头巾也都以黑为上，旗帜是黑色，典礼用的大宝玉为黑色，祭祀用的牺牲要黑色的，要角刚刚长出形状如卵的。,故朝正服黑，首服藻黑，正路舆质黑，马黑，大节、绶、帻尚黑，旗黑，大宝玉黑，郊牲黑，牺牲角卵。,故朝正时候穿黑衣服，头戴黑帽子，坐的车子是黑色的，马也是黑的，大节、绶带、头巾用黑的，旗帜黑的，大宝玉黑的，郊祭用黑牲，祭品角和卵也是黑的。
‘我从现在直到尽我未来岁月，用无法计算的劫时，为这些受罪受苦的六道众生，广泛设立神种方便法门，让他们全都获得解脱以后，我再自身成就佛道。,我今尽未来际不可计劫，为是罪苦六道众生，广设方便，尽令解脱，而我自身方成佛道。,我如今在未来无数劫中，为了这些罪苦六道的众生，设法让他们解脱，最后我自己才成佛。
关中之人魁伟，看重地位，其显贵可取；,关中之人雄，故尚冠冕，其达可与也；,关中之人强，所以喜欢戴帽子，他们厉害也能接受。
六种是，闻熏精明，光明遍布法界，使幽暗之性不能张扬，使得众生虽然身在夜叉、罗刹、鸠槃茶鬼以及毗舍遮、富单那等等鬼怪旁边，却不会被看见。,六者，闻熏精明，明遍法界，则诸幽暗性不能全。能令众生，药叉、罗刹，鸠槃茶鬼，及毗舍遮，富单那等，虽近其傍，目不能视。,六者，闻香精神明亮，光明照遍世界，所有阴暗无法全在。能使众生，药叉、罗刹、鸠槃茶鬼，毗舍遮、富单那等，虽靠近旁边，看不见。
桑落瓦解，形势自见。,桑落瓦解，其埶可见。,桑落瓦破，形势可见。
苏秦长叹道：,苏秦喟然叹曰：,苏秦叹了口气说道：
当时吕蒙正因长厚任宰相，王沔主持政事，仲甫在他们之间从容行事而已。,时吕蒙正以长厚居相位，王沔任事，仲甫从容其间而已。,时吕蒙正以厚道做大官，王沔做事，仲甫在里面随便而已。
刘渊称帝以后，授予他大司马之职，并封他为楚王。,渊称大号，拜大司马，封楚王。,渊称大号，做了大司马，封了个楚王。
后因父亲去世服丧离职，守丧期满，被任命为京兆府司录官，后又因母亲去世服丧离职。,丁父忧，服除，授京兆司录，以母忧去职。,丁父丧，服完，授京兆司录，因母丧离职。
任延聘请德行高的如董子仪、严子陵等，毕恭毕敬地以师友的礼对待他们。,延到，皆聘请高行如董子仪、严子陵等，敬待以师友之礼。,延到，都请些高行的人像董子仪、严子陵这些，用老师朋友礼对待他们。
‘将这些王子们带出城外的金殿园馆中，在那里当会观察其相！,‘将此诸子出城金殿园馆中，于彼当观其相。,把这几个小子送到城外金殿园子里，到那儿看看他们长啥样。
世宗宣武帝元恪即位之初，有个南齐投降北魏的名叫严叔懋的人，控告尚书令王肃派孔思达暗中勾结萧宝卷，阴谋叛乱，说萧宝卷派俞公喜送信给王肃，俞公喜南归时，王肃还让他带回南齐豫州刺史裴叔业的坐骑作为信物。,世宗初，有降人严叔懋告尚书令王肃遣孔思达潜通宝卷，图为叛逆，宝卷遣俞公喜送敕于肃，公喜还南，肃与裴叔业马为信。,世宗初年，有个投降的人叫严叔懋，说尚书令王肃派孔思达偷偷联系宝卷，图谋叛逆。宝卷派俞公喜送敕令给王肃，公喜回南方了，王肃跟裴叔业用马做信物。
一切众生的性相是什么？,一切众生性相云何？,一切众生，它们的性相是怎样的？
由诸天神力，加持得自在，除灭诸恶法，遮止令不生，安住于善法，教众生修善，多数生天上，亦得名为天。,神力所加，故得自在，远离恶法，遮令不起，安住善法，修令增广，能令众生，多生天上。,神力加持，所以自由，远离恶法，不让生起，安居善法，修行增长，能使众生，多上天去。
皇帝高兴地听从了。,帝喜从之。,皇帝高兴，就听从了他。
乙酉曰，地震。,乙酉，地震。,乙酉日，地摇动。
二十二日，到赵元偓宫探病。,乙丑，幸元偓宫视疾。,乙丑日，去元偓宫看病情。
旬日之内颇有上书言事的人，但是里面难道没有切中时弊的奏章？,旬日间颇有言事者，其间岂无切中时病，,这几天有不少人议论事情，里面难道没有说到时下的问题？道理有点乱。
如果能听闻到这部经典，那才能善修圆满的菩萨之道。,若有得闻是经典者，乃能善行菩萨之遒。,若有听到这部经典的人，才能好好地行菩萨之道。
二十六日，太白星白天出现。,戊午，太白昼见。,戊午日，太白星白天出现了。
众人坐下已定后，究罗檀头则白佛而说：,众坐已定，究罗檀头白佛言：,众人坐好了，究罗檀对着头上的白佛说：
当时人称他们为“燕许大手笔”。,故时号“燕许大手笔”。,故昔人叫作“燕许大手笔”。
从‘龙嫠帝后的情况，明白夏朝急剧衰落的原因。,龙漦帝后，识夏廷之遽衰。,龙漦帝后，知夏廷急衰。
您如果能让我不去送象牙床，我愿把传家的宝剑送给您。”,足下能使仆无行，先人有宝剑，愿得献之。”,汝能使我勿行，家有宝剑，愿献给你。
初师认为：所说习气依处表明各种依处招感异熟果的一切功能，,习气处言，显诸依处感异熟果一切功能。,习气说话，显出依处感应异熟果一切功能。
不久，他父亲逝世，回家守丧。,寻丁父忧，归。,寻父死，归家。
如果没有方位性的空间界面，那就如同心与心所，也就不应聚合生成明显物质的果；,若无方分，如心、心所，应不共聚生粗果色。,如果没有分别，像心和心所，应该不会一起生成粗糙的结果颜色。
有智慧的人必定要估量自己的力量然后才去做事，才能出众的人，一边和敌人交战，一边去搀扶受伤的士兵，尚且不能兼顾。,夫知者必量亓力所能至而从事焉，国士战且扶人，犹不可及也。,智者必量其力所能至而做事，国士战斗还要扶人，还不到呢。
郑孝穆自幼谨慎宽厚，以清和简约自守。,孝穆幼而谨厚，以清约自居。,孝穆从小老实厚道，自己很清廉节约。
自成无子，哥哥的儿子李过以及内弟高一功，都留在左右，用为亲信。,自成无子，兄子过及妻弟高一功，迭居左右，亲信用事。,自成没有儿子，他侄子李过和他老婆的弟弟高一功轮流在他身边，信任他们办事。
帝发怒骂道“：官吏竟这样打不定主意，赶快抓下去。”,帝怒骂曰：“吏持两端，促提下。”,帝大怒骂曰：「官吏两头讨好，快带下去。」
举行乡射礼、乡饮酒礼，是用以致仁爱于乡亲邻里的；,以之朝廷有礼，故官爵序；,朝廷有礼，故官爵排排序。
虽然春天散布阳和之气，鹰变成了鸠，对于认得出来的，还是憎恶它的面目。”,虽阳和布气，鹰化为鸠，至于识者，犹憎其目。”,虽春气出来，鹰变鸠，但懂的人还是讨厌它的眼睛。
佛问：“须菩提，你的意思如何？,须菩提，于意云何？,须菩提，你想怎么样？
巡抚任汉有顾虑不能做出决断，皇帝派遣大理卿燕忠会同给事中黎奭察问。,巡抚任汉顾虑不能决，帝遣大理卿燕忠会给事中黎奭按问。,巡抚任汉担心不能决定，皇帝派大理卿燕忠和给事中黎奭去查问。
你们自己的心性就是佛，再不要有所怀疑！,汝等自心是佛。更莫狐疑。,汝等心里是佛，不要再疑神疑鬼。
徭伟反叛，把张卬击走。,伟反，击走卬。,伟回去，打跑了卬。
侦探互相分隔居住，父母妻子与其一起居住，赐给衣食酒肉，官吏妥善给予招待。,候者为异宫，父母妻子皆同其宫，赐衣食、酒肉，信吏善待之。,候者异宫，父母妻儿同宫，给衣食酒肉，信吏好好待之。
魏文侯以卜子夏为老师，以田子方为朋友，对段干木行轼礼，所以一般贤人争着到来，名声超过齐桓公，秦国不敢在西河派兵，这大概是积贤人的符命哩。,魏文侯师卜子夏，友田子方，轼段干木，故髃俊竞至，名过齐桓，秦人不敢窥兵于西河，斯盖积贤人之符也。,魏文侯老师是卜子夏，朋友是田子方，轼见段干木，所以很多贤才都来了，名声超过齐桓公，秦人不敢往西河动兵，这大概是因为贤人多的原因。
有的分为八种，指对三界尘世生活贪爱执取，对痛苦不顺利愤恨不忍，傲慢不让，对众事理不能明解，对佛道真理疑虑不定，对是非真假见解颠倒错误，以及二种对外境的执取贪爱；,或分八种，谓贪、恚、慢、无明、疑、见及二种取；,或分八种，曰贪、恚、慢、无明、疑、见及二种取。
为甚么呢？,所以者何。,这是为啥呢。
所有在押犯人：,其所在见囚：,其在所在见囚
即在国内居住的婆罗门种姓都必须洗净身子。,诸有婆罗门等，在我国内，制抑洗净。,诸婆罗门等，在我国内，压制干净。
杨嗣昌也私下里坚持这样做，凡是有所请求没有不曲意顺从的，从此以后不再说“十面张网”的计策了。,嗣昌亦阴主之，所请无不曲徇，自是不复言“十面张网”之策矣。,嗣昌也暗中支持这事，什么要求都答应，从那以后就不提“十面张网”的计策了。
高宗于是命令裴行俭带上诏书护送波斯王，并任安抚大使。,帝因诏行俭册送波斯王，且为安抚大食使。,皇帝於是叫行俭去给波斯王送个册封，顺便当个安抚大食的使者。
但是他不时仗恃才华肆意而言，也有远离孔、孟的观点。,然时有恃才肆意，亦有盩孔、孟之旨。,然时常有恃才放肆，亦有悖孔孟之意。
世宗去世，因与甄楷等饮酒游玩之事连坐而被免官。,世宗崩，坐与甄楷等饮酒游从，免官。,世宗死，因为跟甄楷这些人喝酒玩，被免官了。
现在既不能将蛮莫等地又划回木邦和孟密，也不能将其割给陇川、干崖和南甸三个宣抚司，应暂时每年从腾冲派遣四百官军轮番守卫该地。,既不可复与木邦、孟密，又不可割畀陇川、干崖、南甸三宣抚，宜暂于腾冲岁檄官军四百分番守之。,既不可再给木邦、孟密，也不可割给陇川、干崖、南甸三个地方，应该暂时让腾冲每年派官军四百人轮流守着。
刘仲威的堂弟刘广德，也好学，自负才能出众而任性。,仲威从弟广德，亦好学，负才任气。,仲威弟弟广德，他也好学，有点才华就任性。
如果得玺，我会驰马去禀告天子。,须得玺，当驰白天子耳。,要得玉玺，应该赶快告诉皇帝罢了。
其次，超越一切识处，而入于不用处。,越一切识处，入不用处。,越过所有认识的地方，进入不需要的地方。
此人不过往返世间，历经七番生死。,不过七生。,不过七世。
尔朱兆出任天柱大将军，转任司马，与齐神武初战失利，退回上党，令叱罗协在建州督办军粮。,兆为天柱大将军，转司马。兆与齐神武初战不利，还上党，令协在建州督军粮。,兆做天柱大将军，后来转司马。兆与齐神武开始打仗不行，回上党，叫协在建州管军粮。
“我听说有一位沙门瞿昙，为释迦族的子弟，已出家成道，在于俱萨罗国的人间游行，而到佉妙婆提村的北边的尸舍婆林。,“我闻有沙门瞿昙释种子出家成道，于俱萨罗国人间游行，诣佉妙婆提村北尸舍婆林。,我听有沙门瞿昙释种子出家成道，到俱萨罗国里乱逛，去了佉妙婆提村北边的尸舍婆林。
卢待伯拒绝替代，太祖派轻装骑兵袭击，将其捉住，卢待伯自杀。,卢待伯拒代，遣轻骑袭擒之，待伯自杀。,卢待伯不愿被代，派轻骑兵去捉了，待伯自己死了。
明年，回鹘又被弘顺击破。,明年，又为弘顺所破。,明年，又被弘顺打败了。
皇上震怒，以钟化民言辞率直没有追究。,帝怒，以化民辞直，无以难。,皇帝生气，因为化民说话直，没法难为他。
十九日，拿出十万斛米，在杭、秀、常、湖州和平江府降价出卖，接济东北流亡侨寓的民户。,戊辰，出米十万斛，即杭、秀、常、湖州、平江府损直以粜，济东北流寓之人。,戊辰，拿出十万斛米，在杭州、秀州、常州、湖州、平江府便宜卖米，救助东北来的流民。
又用杂宝厕在于其间，又用七宝覆在其上面，周匝四面都悬好的金铃，而且其铃声均为出八种之音。,复以杂宝而厕其间，复以七宝而覆其上，周匝四面悬好金铃，然彼铃声皆出八种之音。,又用杂宝放在中间，再用七宝盖在上面，四周围挂上好金铃，那些铃声都发出八种声音。
如果他不想说话，即便苦苦哀求，他也不发一言。,若值其不欲言，纵苦加祈请，亦不相酬答。,若遇他不想说，就算苦苦请求，也不搭理。
然而这并不是爱好死亡而厌恶生存，也不是厌恶富贵而喜欢贫贱。,然则非好死而恶生也，非恶富贵而乐贫贱也。,然则不是好死而恶生，也不是恶富贵而乐贫贱。
七月十九日，颁发遗诏说：“我恭敬地事奉宗庙，统治四海，勤勉谨慎如同随时会有祸患一样，连深夜都不得安宁，一心要寻求政令教化的根本，想建立正大中庸的王道。,辛巳，遗诏曰：朕祗事九庙，君临四海，夕惕如厉，宵分靡宁，必求政化之源，思建大中之道。,辛巳，遗诏曰：吾侍奉九庙，统治四海，日夜小心如履薄冰，夜不能寐，一定要找到政教之本，想建立正道。
种马养得多的，另外辟一个院子，多准备些食槽；,多有父马者，别作一坊，多置槽厩；,有好多养父马的，另外做个马房，多放些食槽马厩。
从此他更加厌恶郭正域以及沈鲤、温纯、杨时乔等人，而党论逐渐兴起。,由是益恶正域，并恶鲤及纯、时乔等，而党论渐兴。,因此更加讨厌正域，连带讨厌鲤及纯、时乔等人，党派之争慢慢起来。
阿难，所谓因缘和合，就像我和你们一千二百五十个比丘，合成为一个集体。,阿难，名和合者，与我与汝一千二百五十比丘，今为一众。,阿难，名和合，我和你，还有这一千二百五十个比丘，现在是一个众。
受、想、行、识，也是如是。,受想行识亦复如是,受想行识也是一样。
敌人从东方来，在东坛上迎神，坛高八尺，长宽八尺，年龄八十岁的八人，主祭青旗，八尊长八尺的青神，八张弓弩，每张弓弩射箭八发而止，将服一定要青色，用鸡作祭品。,敌以东方来，迎之东坛，坛高八尺，堂密八，年八十者八人，主祭青旗，青神长八尺者八，弩八八发而止，将服必青，其牲必青，其牲以鸡。,敌自东来，迎於东坛，坛八尺高，堂密八，八十者八人，主祭青旗，青神八尺者八，弩八，八发而止，将服青，牲必青，用鸡为牲。
“尊古而卑今，乃是学者之流。,“夫尊古而卑今，学者之流也。,夫尊古卑今，是学者们一派。
这时，世尊告诉诸比丘们说：有五受阴。那五种呢？,尔时。世尊告诸比丘。有五受阴。云何为五。,那时，世尊对那些比丘说，有五个受阴，什么五个。
接着拿出《庄子人间世》、《德充符》两篇呈递给王世充，解释说“：上篇谈‘世，下篇谈‘充，这就是相国的名嘛，预示您应当恩德遍布人间，顺应符命当天子。”,又取《庄子人间世》、《德充符》二篇上之，法嗣释曰：“上篇言‘世，下篇言‘充，此即相国名矣，明当德被人间，而应符命为天子也。”,又取《庄子人间世》《德充符》两篇上之，法嗣说：“上篇讲‘世’，下篇讲‘充’，这即是相国的名字了，明显应当德行充满人间，应符天命为天子也。”
卜万将与李景隆军会合，成祖很担心，便设计哄骗陈亨拘禁卜万，然后从刘家口抄小路进攻大宁。,卜万将与景隆军合。成祖惧，以计绐亨囚万，遂从刘家口间道疾攻大宁。,卜万要跟景隆的军队合在一起。成祖很害怕，用计策骗亨把卜万关起来，然后从刘家口那条小路快速攻打大宁。
一切心境是解脱的，因为它不属于任何东西。,诸法解脱不相属故。,诸法解脱，不相关属。
赦免他的冤魂于黄泉，显示信义于后世，使天下的舍身之人，想立功之臣，必然会赴汤蹈火，乐意为陛下视死如归！,赦冤魂于黄泉，收信义于后世，则天下徇名之士，思立功之臣，必投汤火，乐为陛下死矣！,赦黄泉冤魂，收后世信义，天下追名之士，欲立功之臣，必投汤火，乐为陛下死矣！
王敦认为周访是著名将领，功高名重，有疑虑之意。,敦以访名将，勋业隆重，有疑色。,敦访名将，功业很大，表情疑惑。
加盐加醋；,盐，苦酒；,盐，苦酒也。
丞相雨舍听佛陀解说诗句后，随即悟得佛理，当时在场的人们，也都证得初果。,雨舍承相闻佛说偈，即得道迹，时会大小，皆得须陀洹道。,雨舍承相听佛说偈，就开悟了。当时在场的人，大小都得了须陀洹道。
学庾信文体，词多轻浮华艳。,学庾信体，词多轻艳。,学庾信文体，词语很轻艳。
霍丘知县郑延祚贪污，崔呈秀将弹劾他，郑延祚以一千两黄金贿赂他而获免。,霍丘知县郑延祚贪，将劾之，以千金贿免。,霍丘县的郑延祚这人很贪，打算告他，但他用一千两金子贿赂，事情就算了。
